Year,Drug Name,Generic v Brand,Therapeutic Class,Therapeutic Class - Intermediate,Prescriptions,Days Supply,Allowed Amount,Payer Paid,Patient Out of Pocket,Average Cost per Prescription,Average Cost per Days Supply,Patient Out of Pocket per Prescription,Payer Paid per Prescription,Patient Out of Pocket per Days Supply,Payer Paid per Days Supply
2018,AFTERA,Generic,Hormones & Synthetic Subst,"Contraceptive, Oral Comb, NEC",943,1552,11209.66,11176.310000000001,33.35,11.887232237539767,7.222719072164948,0.03536585365853659,11.851866383881232,0.02148840206185567,7.201230670103094
2018,AGGRENOX,Brand,Blood Form/Coagul Agents,"Antiplatelet Agents, NEC",57,3987,41806.25,38091.25,3715.0,733.4429824561404,10.485640832706295,65.17543859649123,668.2675438596491,0.9317782794080762,9.553862553298218
2018,AIMOVIG 70MG,Brand,Central Nervous System,"CNS Agents, Misc.",594,17694,295388.54,234123.19000000003,61265.35,497.28710437710436,16.69427715609811,103.14031986531987,394.1467845117846,3.4624929354583474,13.231784220639767
2018,AIMOVIG 140MG,Brand,Central Nervous System,"CNS Agents, Misc.",193,6327,87644.57,66472.89,21171.68,454.1169430051814,13.852468784574048,109.6978238341969,344.41911917098446,3.3462430851904537,10.506225699383593
2018,AJOVY,Brand,Central Nervous System,"CNS Agents, Misc.",32,1244,16385.77,10636.689999999999,5749.08,512.0553125,13.171840836012862,179.65875,332.39656249999996,4.62144694533762,8.55039389067524
2018,ALAWAY,Generic,"Eye, Ear, Nose Throat","Eye/Ear/Nose/Throat Misc, NEC",274,8118,2516.49,416.29,2100.2,9.1842700729927,0.30998891352549884,7.664963503649634,1.5193065693430658,0.2587090416358709,0.05127987188962799
2018,ALBENDAZOLE,Generic,Anti-Infective Agents,"Anthelmintics, NEC",98,1046,95237.32,92193.40000000001,3043.92,971.8093877551021,91.04906309751435,31.060408163265308,940.7489795918368,2.910057361376673,88.13900573613768
2018,ALBENZA,Brand,Anti-Infective Agents,"Anthelmintics, NEC",413,4556,707671.31,677813.62,29857.69,1713.4898547215498,155.32732879719052,72.29464891041162,1641.195205811138,6.553487708516242,148.7738410886743
2018,ALBUSTIX,Brand,Diagnostic Agents,"Diagnostic Agents, Misc, NEC",24,1100,959.94,338.05,621.8900000000001,39.9975,0.8726727272727274,25.91208333333334,14.085416666666667,0.5653545454545456,0.3073181818181818
2018,ALBUTEROL SULFATE,Generic,Autonomic Drugs,"Sympathomimetic Agents, NEC",24505,391624,306791.10000000003,112774.89000000003,194016.21,12.519530708018774,0.783381764141115,7.9174131809834725,4.6021175270353005,0.49541450472902576,0.2879672594120892
2018,ALCLOMETASONE DIPROPIONATE,Generic,Skin & Mucous Membrane,Antiinflam S/MM Agnts&Comb NEC,1644,32948,74265.57999999997,44903.89,29361.69,45.17371046228709,2.2540239164744436,17.859908759124085,27.313801703163016,0.8911524219983004,1.3628714944761442
2018,ALCOHOL PREP PADS,Brand,Skin & Mucous Membrane,S/MM Soaps/Cleanser/Antiseptic,277,13015,9675.71,9407.740000000002,267.97,34.930361010830325,0.7434275835574337,0.9674007220216607,33.96296028880867,0.020589320015366886,0.7228382635420669
2018,ALCOHOL PREP PADS,Other,Skin & Mucous Membrane,S/MM Soaps/Cleanser/Antiseptic,18,625,630.62,539.44,91.17999999999999,35.034444444444446,1.008992,5.065555555555555,29.96888888888889,0.145888,0.8631040000000001
2018,ALDACTAZIDE,Brand,"Electrolytic, Caloric, Water","Diuretics, Potassium-Sparing",18,600,1729.51,1129.51,600.0,96.0838888888889,2.8825166666666666,33.333333333333336,62.75055555555556,1.0,1.8825166666666666
2018,ALDACTONE,Brand,"Electrolytic, Caloric, Water","Diuretics, Potassium-Sparing",38,1027,11057.300000000001,7816.11,3241.19,290.98157894736846,10.766601752677703,85.29447368421053,205.6871052631579,3.1559785783836416,7.61062317429406
2018,ALECENSA,Brand,Antineoplastic Agents,Molecular Targeted Therapy,101,3030,1323496.94,1320331.94,3165.0,13103.9300990099,436.7976699669967,31.336633663366335,13072.593465346534,1.0445544554455446,435.75311551155113
2018,ALENDRONATE SODIUM,Brand,Misc Therapeutic Agents,Bone Resorption Inhibitors,32,1192,7515.5199999999995,6670.5199999999995,845.0,234.85999999999999,6.3049664429530194,26.40625,208.45374999999999,0.7088926174496645,5.596073825503355
2018,ALENDRONATE SODIUM,Generic,Misc Therapeutic Agents,Bone Resorption Inhibitors,26737,1251472,136496.37999999998,15905.65,120590.73,5.105149418408946,0.10906866474040168,4.510256573287953,0.5948928451209934,0.09635911151028548,0.012709553230116214
2018,ALFAMINO INFANT,Brand,"Electrolytic, Caloric, Water","Caloric Agents, Nutrition Prep",20,575,7533.87,5598.55,1935.32,376.6935,13.102382608695653,96.76599999999999,279.9275,3.365773913043478,9.736608695652174
