Therapeutic Class,Prescriptions,Days Supply,Allowed Amount,Payer Paid,Patient Out of Pocket,Year,Generic v Brand,Average Cost per Prescription,Average Cost per Days Supply,Patient Out of Pocket per Prescription,Payer Paid per Prescription,Patient Out of Pocket per Days Supply,Payer Paid per Days Supply
Heavy Metal Antagonists,243,7345,3318134.13,3301166.77,16967.36,2019,Brand,13654.872962962963,451.75413614703876,69.8245267489712,13585.048436213992,2.3100558202859087,449.4440803267529
Hormones & Synthetic Subst,575399,24218895,283973898.62,252671685.56,31302213.06,2019,Brand,493.52518620991697,11.725303677975399,54.40088192714968,439.12430428276724,1.292470736588106,10.432832941387293
Immunosuppressants,76637,2342341,456045878.9,447596509.82,8449369.08,2019,Brand,5950.7271800827275,194.69662141421765,110.25182457559664,5840.475355507131,3.6072327129141315,191.08938870130353
Misc Therapeutic Agents,27522,907374,108720531.36,106087621.25,2632910.11,2019,Brand,3950.3136167429693,119.81887442223383,95.66565329554538,3854.647963447424,2.9016812361826543,116.91719318605118
Missing,11,209,637.24,465.46,171.78,2019,Brand,57.93090909090909,3.0489952153110047,15.616363636363637,42.31454545454545,0.8219138755980862,2.2270813397129188
Pharmaceutical Aids/Adjuvants,3922,108559,576251.19,367612.92,208638.27,2019,Brand,146.92789138194797,5.308184397424442,53.196907190209075,93.7309841917389,1.921888281948065,3.3862961154763767
Respiratory Tract Agents,5544,143524,33571266.36,33249254.48,322011.88,2019,Brand,6055.423225108225,233.90698670605613,58.08295093795094,5997.340274170274,2.24360998857334,231.6633767174828
"Serums, Toxoids, Vaccines",230463,714282,15762636.57,15214649.32,547987.25,2019,Brand,68.39551932414314,22.067805950590945,2.377766713094944,66.0177526110482,0.7671861393679247,21.30061981122302
Skin & Mucous Membrane,22371,785249,8619006.95,6999470.649999999,1619536.2999999998,2019,Brand,385.27589066201773,10.976145082642574,72.39445263957802,312.88143802243974,2.062449363195623,8.913695719446952
Smooth Muscle Relaxants,5135,208213,2080638.22,1736346.4699999997,344291.75,2019,Brand,405.1875793573515,9.992835317679491,67.04805258033106,338.1395267770204,1.653555493653134,8.339279824026356
UNKNOWN,55,2494,15411.86,14010.77,1401.09,2019,Brand,280.21563636363635,6.179574979951885,25.474363636363634,254.74127272727273,0.5617842822774659,5.617790697674419
Unknown,6937,297757,971078.78,784664.9099999998,186413.87,2019,Brand,139.98540867810294,3.2613130169903646,26.87240449762145,113.11300418048145,0.626060411677979,2.635252605312385
Vitamins & Comb,15945,616860,1184623.43,1062103.98,122519.45,2019,Brand,74.294351207275,1.9204088934280064,7.683878958921292,66.61047224835372,0.19861791978730992,1.7217909736406964
"Anesthetics, Local",40,784,240.91999999999996,88.86999999999999,152.04999999999998,2020,Generic,6.022999999999999,0.3072959183673469,3.8012499999999996,2.2217499999999997,0.19394132653061222,0.11335459183673469
Anti-Infective Agents,972081,14425603,27991655.12,18877545.790000003,9114109.33,2020,Generic,28.79559946136176,1.9404149081324364,9.375874366436541,19.41972509492522,0.631800925756795,1.3086139823756415
Antihistamines & Comb.,37431,1381725,667280.58,384350.49000000005,282930.08999999997,2020,Generic,17.826950388715236,0.48293298594148615,7.558710427186021,10.268239961529215,0.20476584703902728,0.2781671389024589
Antineoplastic Agents,69570,2985024,12941202.91,12609492.23,331710.68,2020,Generic,186.0170031622826,4.335376502835488,4.7680132240908435,181.24898993819176,0.11112496247936365,4.224251540356125
Autonomic Drugs,480424,11448472,18395659.39,11908164.5,6487494.89,2020,Generic,38.29046714985097,1.6068222370636012,13.503686098113333,24.78678105173763,0.5666690620372745,1.0401531750263266
Blood Form/Coagul Agents,62974,2983123,3620524.67,2841136.9499999997,779387.72,2020,Generic,57.492372566456,1.2136692553407955,12.376341347222663,45.11603121923333,0.26126570040859864,0.9524035549321967
Cardiovascular Agents,2452167,130612618,36462040.48,16575793.33,19886247.150000002,2020,Generic,14.869313745760381,0.2791616999821564,8.109662657559621,6.759651088200763,0.15225364482013523,0.12690805516202117
Central Nervous System,3889591,138825446,88598555.44,48926537.14,39672018.3,2020,Generic,22.77837321199067,0.6382011222928108,10.199534681152851,12.578838530837817,0.2857690678695892,0.3524320544232215
Dental Agents,27257,1345387,175912.47,96325.2,79587.26999999999,2020,Generic,6.453845617639505,0.13075231884952063,2.9198836996001023,3.5339619180394024,0.05915567045021246,0.07159664839930815
Devices & Non-Drug Items,581,15234,634.66,33.06,601.5999999999999,2020,Generic,1.0923580034423408,0.041660758828935274,1.0354561101549051,0.05690189328743546,0.03949061310227123,0.002170145726664041
Diagnostic Agents,27,895,80.82,24.1,56.72,2020,Generic,2.993333333333333,0.09030167597765362,2.100740740740741,0.8925925925925926,0.06337430167597766,0.02692737430167598
